,content_id,title_ko,title_en,running_min,running_time,year,country,age,ott_img,ott_tag,avg_score,img
184,mWyJ9BK,그린 북,Green Book,130,2시간 10분,2018,미국,15세,"['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png', 'https://an2-img.amz.wtchn.net/image/v2/AmxtezC90nGQwOmwj0MCPA.png?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKd0lqb2lMM1l5TDNOMGIzSmxMM1ZwYldGblpTOHhOalV3TXpRMk9UQXhNVE0xTlRBNU16TTRJbjAudWd0X0VwOHg1ZDBnZTBTRjhiNkhrUG52Qzd5cndhRnl6bEt2dEZzVGhzTQ']",#왓챠#티빙,4.2,https://an2-img.amz.wtchn.net/image/v2/Qr91oqqCDQkSwNXBVZNCgA.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMM1JpY1RGNllXNTFkblkyWjNoa2NuWTVNWGx0SW4wLkEwLU5JM0R1cElwbEotM1EzcUNyQmlDc0lpd2JlXzlDSWJ2bVdYZjU3Rjg=
185,m5mYe7z,플로우,Straume,85,1시간 25분,2024,"벨기에, 라트비아, 프랑스",전체,[],,,https://an2-img.amz.wtchn.net/image/v2/4QRN9XPT4AyUT9kkKjg-MA.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpjNE9EQXhPVEl6T0RBeE5qZzVNQ0o5LmJIa01td0tMZC1tNklhLWU2WGRtVjBhZmpRTVpOMm9CaVBTV3JGY3lqSDg=
186,mW9DD45,브루클린,Brooklyn,111,1시간 51분,2015,"영국, 캐나다, 아일랜드",12세,[],,3.8,https://an2-img.amz.wtchn.net/image/v2/9uEqbx70GRBGQqwqya3vmw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMmgwWlhSeU1ISTRlVzlzZVc5aVlYbG9jbXh4SW4wLk1hNWtPRVVaWGc0RjZVdVdpdXZoWnRhd3JZWFFtQU9MTUlLZ21HYnh6M3c=
187,m5n7kkW,도쿄!,TOKYO!,111,1시간 51분,2008,"프랑스, 일본, 한국, 독일",15세,['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png'],#왓챠,3.4,https://an2-img.amz.wtchn.net/image/v2/2WlYygjZt755ioNhXYMSXw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMlZ3ZWpWelpqTnViRFk0WkRCeWVXSm9kbVJwSW4wLnJ6Z1FfWFVnTkVwcHFxVzJwaEZtVEtOVmlPMVBpMHJZYml1RTVkd1lLSTQ=
188,mW93ZZd,데블스 에드버킷,The Devil's Advocate,144,2시간 24분,1997,"독일, 미국",청불,[],,3.6,https://an2-img.amz.wtchn.net/image/v2/vQ0o6KcgeNtBPrpPOSfExA.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMlkxY0RodGJHNW9abkJqYjJGb1lUZG9ZMkpsSW4wLmdpY0lEYnFKbkN2N0haMXlWLTI3LUZCXzZpZXB1WWFkeVM4eFMwdHdOTVk=
189,mOop1YL,프라미싱 영 우먼,Promising Young Woman,113,1시간 53분,2020,"영국, 미국",15세,['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png'],#왓챠,3.5,https://an2-img.amz.wtchn.net/image/v2/7L8hfh227za7Em3Y532CYA.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk1URTFOREU0TWpRNU1Ua3lOVFF4T1RVaWZRLldrVi1ITzJySXZKU2ZUVXlYMHhwLWk0LWxBWHg4YnhIOXNjUlVKUlhmMTQ=
190,m5XMAlL,미스트리스 아메리카,Mistress America,84,1시간 24분,2015,"미국, 브라질",15세,[],,3.6,https://an2-img.amz.wtchn.net/image/v2/GHVHjz57HKJFK06DffI-1w.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMM2R6YzJkdFlXTTBaV1JvYmpsbU9XZHdjR1ZtSW4wLkdETGo2UEhBT0xfY1ROSHV5U0dySWJ1dmxiTkpOMklzV1ZpbWhlSGxOV2M=
191,m5YLa6w,스파이의 아내,スパイの妻,115,1시간 55분,2020,일본,12세,[],,3.7,https://an2-img.amz.wtchn.net/image/v2/kj-uEQWy4FOmdal0rZh8Gw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk1UVXlOVEE1TVRNME1EZzJORGd4TWpVaWZRLmN3M3FScnFQeUlaeU81Y191cHJINC14a2RjR3ZvRGIzdmpxdENQTVJZWG8=
192,mdRL434,버닝,버닝,148,2시간 28분,2018,한국,12세,"['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png', 'https://an2-glx.amz.wtchn.net/images/ex_netflix_logo_square.png', 'https://an2-img.amz.wtchn.net/image/v2/AmxtezC90nGQwOmwj0MCPA.png?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKd0lqb2lMM1l5TDNOMGIzSmxMM1ZwYldGblpTOHhOalV3TXpRMk9UQXhNVE0xTlRBNU16TTRJbjAudWd0X0VwOHg1ZDBnZTBTRjhiNkhrUG52Qzd5cndhRnl6bEt2dEZzVGhzTQ']",#왓챠#넷플릭스#티빙,3.5,https://an2-img.amz.wtchn.net/image/v2/4_aGeImybN-YvFG7ufSFbg.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMM294ZVc5NmRtMTZlSEoyT0dkc2JXeDJkWHB6SW4wLnRzQmZsZlZGSkIxX2UtV2RDelJrci1lcnZSU056dkVDeWFjMXR4eTY1dVk=
193,m5XlpB5,걸어도 걸어도,歩いても 歩いても,114,1시간 54분,2008,일본,전체,"['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png', 'https://an2-glx.amz.wtchn.net/images/ex_netflix_logo_square.png']",#왓챠#넷플릭스,4.0,https://an2-img.amz.wtchn.net/image/v2/o5vKMokQZRFTw9siu_XkbA.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMlp3YnpWcU5UVjJPRGg1ZUdsbk5XdG5aWE56SW4wLkpoUXJLOG4tejJTUFVvWEZPQW5STXc3TFNaS05FdVVqUGlWdXN0dXhUUm8=
194,moW4XlW,쉰들러 리스트,Schindler's List,195,3시간 15분,1993,미국,15세,"['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png', 'https://an2-glx.amz.wtchn.net/images/ex_wavve_logo_square.png']",#왓챠#웨이브,4.2,https://an2-img.amz.wtchn.net/image/v2/DNbMxCuknU1eFq42xjF9yw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMjV0YXpodlozbDZabXR0ZVhCdVkyRjNjVFEySW4wLmN0X2ZTNUVOa29fdk11dXhoaFdLUjk2UEVKajMtRlVKdDVQbmMwUmVheEE=
195,m53m90n,미나리,Minari,115,1시간 55분,2020,미국,12세,"['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png', 'https://an2-glx.amz.wtchn.net/images/ex_netflix_logo_square.png', 'https://an2-img.amz.wtchn.net/image/v2/AmxtezC90nGQwOmwj0MCPA.png?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKd0lqb2lMM1l5TDNOMGIzSmxMM1ZwYldGblpTOHhOalV3TXpRMk9UQXhNVE0xTlRBNU16TTRJbjAudWd0X0VwOHg1ZDBnZTBTRjhiNkhrUG52Qzd5cndhRnl6bEt2dEZzVGhzTQ']",#왓챠#넷플릭스#티빙,3.6,https://an2-img.amz.wtchn.net/image/v2/aHqnuiQvMZx6ZDTA4EVKEg.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk1UTXpOemMyTURNME5EUTRPRGczT0RRaWZRLi1UMWZEMGw3YlVtYVE2b0pCNl94RE9Ib2tDTFhjSzBIUUFaRkg0V21yREE=
196,mObVQAk,톨킨,Tolkien,112,1시간 52분,2019,미국,12세,['https://an2-img.amz.wtchn.net/image/v2/mPQV0ogd6uw4_5DmR0oBFA.png?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKd0lqb2lMM1l5TDNOMGIzSmxMM1ZwYldGblpTODJPVE14TmpNeE1qWXpNekE1TURraWZRLnZ0TFJSVWFtRWtJRDBHMFJnZGdQVC1WWlJLckE3eGNHZWdpMFpWWXhWZWM&ts=1712645394'],#디즈니+,3.1,https://an2-img.amz.wtchn.net/image/v2/OZVXXfCxlK2O0dPmmXgsXQ.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMM2wxTm1GellYcG5iV00xYm1WdWNHVTFiSGw2SW4wLnN3N0ktUUo1TjFqY3V0NnlVOVEzb3ZXMENUSklBaENuVjA2aVlsTEdQVzA=
